Aggregate Report,,,,,,,,,,,,
Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Iteration Start TIme,6,3,1,1,18,18,0,18,0.00%,32.96703,0,0
Login,6,1036,1022,1069,1103,1103,947,1103,0.00%,1.85357,4.88,1.28
Validate,6,1176,1168,1214,1239,1239,1080,1239,0.00%,1.73963,8.91,3.6
PIM - Add Employee,2,4355,3565,5145,5145,5145,3565,5145,0.00%,0.21503,4.05,1.47
PIM - Reports,2,2238,2012,2465,2465,2465,2012,2465,0.00%,0.28345,2.55,0.92
Logout,6,932,926,1021,1023,1023,805,1023,0.00%,0.28601,1.31,0.48
Assign Claim,2,12062,11541,12584,12584,12584,11541,12584,0.00%,0.07154,4.6,1.46
Pacing Wait TIme,6,7238,7737,11293,15305,15305,0,15305,0.00%,0.23625,0,0
Debug Sampler,6,0,0,0,1,1,0,1,0.00%,0.59347,0.64,0
TimeSheets,2,18939,18373,19506,19506,19506,18373,19506,0.00%,0.07778,7.05,2.51
TOTAL,44,3125,1022,11541,15305,19506,0,19506,0.00%,1.09649,11.11,3.79
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
SUMMARY REPORT,,,,,,,,,,,,
Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes,,
Iteration Start TIme,6,3,0,18,6.5,0.00%,32.96703,0,0,0,,
Login,6,1036,947,1103,49.03,0.00%,1.85357,4.88,1.28,2695.7,,
Validate,6,1176,1080,1239,50.28,0.00%,1.73963,8.91,3.6,5242,,
PIM - Add Employee,2,4355,3565,5145,790,0.00%,0.21503,4.05,1.47,19287.5,,
PIM - Reports,2,2238,2012,2465,226.5,0.00%,0.28345,2.55,0.92,9225,,
Logout,6,932,805,1023,95.57,0.00%,0.28601,1.31,0.48,4672.5,,
Assign Claim,2,12062,11541,12584,521.5,0.00%,0.07154,4.6,1.46,65808.5,,
Pacing Wait TIme,6,7238,0,15305,5549.51,0.00%,0.23625,0,0,0,,
Debug Sampler,6,0,0,1,0.37,0.00%,0.59347,0.64,0,1100.7,,
TimeSheets,2,18939,18373,19506,566.5,0.00%,0.07778,7.05,2.51,92760,,
TOTAL,44,3125,0,19506,5108.62,0.00%,1.09649,11.11,3.79,10373.3,,
